Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
8.8, 0.08, 0.08, 0.08, 0.08, 0.314392, 0.314392, 13.840560, 0.314392, 0.314392, 0.314392, 14.318199, 0.314392, 1.187182, 1.050474, 0.000000, 370.37, 375.49, 376.90, 3.14
8.9, 0.08, 0.08, 0.08, 0.08, 0.310906, 2.546995, 14.654537, 0.314392, 0.335557, 0.314392, 14.349182, 0.314392, 1.591711, 1.126335, 0.000000, 374.34, 379.90, 381.50, 4.22
9.0, 0.09, 0.08, 0.08, 0.08, 0.314392, 0.314392, 18.585978, 0.314392, 0.314392, 0.314392, 17.834346, 0.314392, 0.509237, 0.509237, 0.000000, 377.79, 384.70, 385.47, 4.86
9.1, 0.09, 0.09, 0.08, 0.08, 0.314392, 0.314392, 19.401509, 3.026416, 0.314392, 1.416040, 17.858127, 0.314392, 1.591711, 1.591711, 0.000000, 382.27, 390.02, 389.95, 2.18
9.2, 0.09, 0.09, 0.09, 0.08, 0.314392, 0.314392, 17.369483, 1.399155, 0.314392, 0.314392, 19.270656, 0.314392, 1.591711, 1.591711, 0.000000, 386.69, 394.24, 394.62, 3.46
9.3, 0.09, 0.09, 0.09, 0.09, 0.988583, 2.956769, 16.390616, 0.314392, 0.314392, 0.314392, 20.423649, 3.056622, 0.509237, 0.509237, 0.000000, 390.46, 399.36, 399.49, 2.94
9.4, 0.09, 0.09, 0.09, 0.09, 1.031624, 0.314392, 16.117919, 0.314392, 4.604968, 3.593346, 12.147075, 0.314392, 1.572805, 1.591711, 0.000000, 394.82, 403.07, 404.22, 5.06
9.5, 0.09, 0.09, 0.09, 0.09, 0.314392, 0.314392, 19.400952, 0.314392, 2.198528, 0.314392, 12.793274, 0.314392, 1.591711, 1.591711, 0.000000, 399.17, 407.94, 409.60, 2.56
9.6, 0.09, 0.09, 0.09, 0.09, 4.212207, 0.314392, 6.812497, 0.314392, 4.632278, 0.314392, 16.067176, 0.314392, 1.591711, 1.591711, 0.000000, 403.14, 413.70, 413.06, 3.07
9.7, 0.09, 0.09, 0.09, 0.09, 0.314392, 0.311623, 20.356030, 0.314392, 0.314392, 4.645129, 4.524373, 0.314392, 0.509237, 0.509237, 0.000000, 407.94, 417.98, 418.30, 2.56
9.8, 0.09, 0.09, 0.09, 0.09, 1.220197, 3.896776, 21.892219, 0.314392, 3.845095, 0.314392, 20.413096, 0.728635, 1.465339, 1.050474, 0.000000, 412.99, 422.14, 422.34, 4.86
9.9, 0.09, 0.09, 0.09, 0.09, 0.314392, 4.593205, 20.357858, 0.314392, 0.314392, 0.314392, 15.181345, 1.433169, 0.509237, 0.509237, 0.000000, 416.96, 427.07, 426.75, 4.16
