Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
9.7, 0.05, 0.06, 0.08, 0.00, 0.037278, 0.037278, 0.504465, 0.037278, 0.037278, 0.037278, 0.887526, 0.037278, 0.076247, 0.076247, 0.000000, 1775.55, 1766.21, 1777.22, 3.33
9.8, 0.06, 0.06, 0.08, 0.00, 0.037278, 0.369546, 0.087663, 0.037278, 0.037278, 0.037278, 0.090812, 0.037278, 0.076247, 0.076247, 0.000000, 1795.78, 1784.83, 1795.07, 4.03
9.9, 0.06, 0.06, 0.08, 0.00, 0.326367, 0.037278, 2.196210, 0.037278, 0.037278, 0.480019, 1.217795, 0.037278, 0.076247, 0.076247, 0.000000, 1813.18, 1804.42, 1812.48, 5.12
10.0, 0.06, 0.06, 0.08, 0.00, 0.037278, 0.035889, 0.090812, 0.037278, 0.037278, 0.037278, 0.090812, 0.037278, 0.292742, 0.292012, 0.000000, 1831.04, 1824.26, 1830.85, 2.94
10.1, 0.06, 0.06, 0.08, 0.00, 0.037278, 0.037278, 0.203974, 0.037278, 0.037278, 0.037278, 0.249155, 0.037278, 0.292742, 0.259459, 0.000000, 1851.33, 1843.65, 1848.38, 2.94
10.2, 0.06, 0.06, 0.08, 0.00, 0.037278, 0.033806, 0.139690, 0.037278, 0.037278, 0.037278, 0.295289, 0.037278, 0.292742, 0.292742, 0.000000, 1870.14, 1863.30, 1867.20, 4.54
10.3, 0.06, 0.06, 0.09, 0.00, 0.037278, 0.034459, 2.315968, 0.037267, 0.037278, 0.481644, 2.189868, 0.037278, 0.267302, 0.184495, 0.000000, 1888.06, 1882.82, 1886.59, 3.14
10.4, 0.07, 0.06, 0.09, 0.00, 0.037278, 0.037278, 0.720810, 0.033061, 0.646518, 0.037278, 1.989564, 0.037278, 0.076247, 0.076247, 0.000000, 1904.70, 1901.70, 1905.34, 3.20
10.5, 0.07, 0.06, 0.08, 0.00, 0.037278, 0.036376, 1.593537, 0.037278, 0.037278, 0.577678, 2.040141, 0.034851, 0.292742, 0.290077, 0.000000, 1923.46, 1920.77, 1923.71, 3.14
10.6, 0.07, 0.06, 0.09, 0.00, 0.037278, 0.035674, 2.497463, 0.037278, 0.032318, 0.213353, 0.134621, 0.037278, 0.076247, 0.076247, 0.000000, 1941.57, 1939.39, 1940.67, 4.42
10.7, 0.07, 0.06, 0.08, 0.00, 0.150228, 0.037278, 0.508091, 0.033247, 0.037278, 0.037278, 1.266453, 0.037278, 0.292742, 0.292742, 0.000000, 1961.09, 1957.44, 1958.59, 4.29
10.8, 0.07, 0.07, 0.08, 0.00, 0.037278, 0.037278, 2.495451, 0.037278, 0.037278, 0.037278, 0.612093, 0.036737, 0.292742, 0.292742, 0.000000, 1979.65, 1977.41, 1976.64, 3.71
10.9, 0.07, 0.07, 0.09, 0.00, 0.216656, 0.037278, 0.905061, 0.037278, 0.670121, 0.037278, 1.648049, 0.036821, 0.265225, 0.093632, 0.000000, 1998.34, 1995.97, 1993.34, 2.94
11.0, 0.07, 0.07, 0.09, 0.00, 0.086127, 0.037278, 0.037278, 0.037278, 0.037278, 0.037278, 1.133792, 0.037278, 0.076247, 0.076247, 0.000000, 2016.45, 2014.14, 2011.71, 3.58
11.1, 0.07, 0.07, 0.08, 0.00, 0.037278, 0.037278, 1.939097, 0.037278, 0.037278, 0.037278, 0.097520, 0.037278, 0.292742, 0.292742, 0.000000, 2035.14, 2030.53, 2029.82, 5.44
11.2, 0.07, 0.07, 0.09, 0.00, 0.037278, 0.037278, 2.937576, 0.037278, 0.037278, 0.033935, 2.194749, 0.037278, 0.292742, 0.292742, 0.000000, 2055.68, 2048.00, 2046.98, 4.42
11.3, 0.07, 0.07, 0.09, 0.00, 0.157080, 0.037278, 0.060315, 0.037278, 0.037278, 0.037278, 0.097520, 0.037278, 0.292742, 0.265632, 0.000000, 2073.98, 2067.14, 2066.30, 5.31
